kalenderId;luftfeuchtigkeit;klavierstimmungVorher;klavierstimmungNachher;resonanzboden;stege;saiten;stimmwirbel;stimmstock;hammerkoepfe;mechanik;daempfer;tastatur;oberflaeche;rahmen;anmerkungen;oertlichkeit;transport;nacharbeit;zahlungsart;kostenvoranschlag
62;;437;440;ok;ok;ok;ok;ok;ok;Pedale quitschen;ok;ok;;;alles ok;;;;Bar bezahlt;false
182;;438;440;;;;;;;;;;;;alles ok;;;;;false
243;;;;ok;ok;ok;ok;ok;eingespielt;ok;;;;;;;;;Bar bezahlt;false
426;;;; ;;;;;;;;;;;;;;;;false
483;23,9;420;420;ok;ok;ok;ok;ok;extrem eingespielt;gehört reguliert;gehören reguliert;ok;;;;;;;Bar bezahlt;false
703;;;; ;;;;;;;;;;;;;;;;false
1326;61;;440; ok;ok;ok;ok;ok;leicht eingespielt;ist zu regulieren;ok;ist zu regulieren;ok;;;;;;;true
1391;;439;442; ;;;;;;;;;;;alles ok;;;;;false
1447;;440;440; ;;;;;;;;;;;alles Ok;;;;;false
1502;35;;438; 5 Risse;großer Riss im Übergang;leicht rostig, haben Eigenschwebungen;ok;ok;stark eingespielt;Rest-bed;zu regulierern;zu regulieren;original;;;;;;Bar bezahlt;true
1511;;;; ;;;;;;;;;;;;;;;;false
1552;;;; ;;;;;;;;;;;;;;;;false
1613;;;; ;;;;;;;;;;;;;;;;false
1744;;;440; ;;;;;;gehört überholt;;;;;;;;;Rechnung;false
1802;50;;440; ;;;;;;;;;;;alles ok;;;;;true
1805;;;; ;;;;;;;;;;;;;;;;false
1808;;438;438; ;;;;;;;;;;;alles Ok;;;;;false
1867;;440;440; ;;;;;;;;;;;alles Ok;;;;;false
1926;Ok;440;440; ;;alles Ok;;;;;;;;;;;;;Bar bezahlt;false
1932;;;440; ;;;;;;;;;;;alles Ok;;;erledigt;;false
2103;;;435; ;;;;;;;;;;;OK;;;;Bar bezahlt;false
2166;;;440; ;;;;;leicht eingespielt;;;;;;;;;;Bar bezahlt;false
